x (mm),y (mm),Spec 11000000.0Hz,Spec 12000000.0Hz,Spec 13000000.0Hz
138.16188712500002,35.500008375,(-15787.612316903113-4438.160791278326j),(-7169.12215665748-7720.878365276069j),(-1420.3341098227947-7634.8190563529215j)
137.951670375,35.500008375,(-15281.766192132798-6065.583774951465j),(-6266.456516490876-8493.306371806286j),(-480.87659114051553-7764.008750126906j)
137.74283475000001,35.500008375,(-15607.734281630035-5170.972119445888j),(-6784.981362106702-8083.620253498091j),(-1009.3320403341831-7713.776875198085j)
137.53476112500002,35.500008375,(-15725.07604777837-4804.033890262596j),(-6990.566223237684-7907.152984655354j),(-1221.615091094358-7682.537194227094j)
137.323401375,35.500008375,(-15828.8796151288-4430.268822183717j),(-7186.133367295413-7723.079380487565j),(-1432.7891425272664-7644.280000765854j)
137.08256175,35.500008375,(-15830.21512388371-4424.67994235576j),(-7194.060467629646-7719.2797761664015j),(-1436.582105502257-7644.018931421877j)
136.87391662500002,35.500008375,(-15722.961395843702-4778.4502431327j),(-6997.596864392201-7891.09263320504j),(-1233.1135877331878-7678.147144822626j)
136.62707625000002,35.500008375,(-15360.177545995854-5843.995315815082j),(-6389.130393628984-8390.683425066703j),(-606.1624922704157-7749.038083818686j)
136.422907875,35.500008375,(-15485.255007870848-5473.855779889082j),(-6602.138077844296-8217.956501007562j),(-823.3096730506461-7725.955777415291j)
136.21597725,35.500008375,(-15609.707598982644-5104.92682762257j),(-6806.997916967708-8044.946901745247j),(-1038.5812227762744-7697.740802697016j)
136.008475125,35.500008375,(-15146.284271238317-6338.517359720139j),(-6078.5374214288695-8604.529718379628j),(-307.64727108338934-7756.453359741953j)
135.79073362500003,35.500008375,(-15216.598489026965-6145.381374790786j),(-6190.011735252079-8517.895099423138j),(-418.4797044224998-7748.977524303689j)
135.536559,35.500008375,(-15421.528438720256-5597.140463390386j),(-6513.927959171436-8269.374596329446j),(-742.9601616791758-7720.71739770331j)
135.32672325000001,35.500008375,(-15281.37729295798-5940.912100861909j),(-6306.681717762053-8419.936619736798j),(-537.4106817520953-7732.168475800717j)
135.118840125,35.500008375,(-15599.053147772756-5038.279755919707j),(-6827.087958229512-8000.654410335947j),(-1069.603806285948-7677.078559384614j)
134.90533725,35.500008375,(-15656.538276380215-4848.050635158672j),(-6928.1222219702395-7907.473053483845j),(-1176.325200628336-7657.444482262543j)
134.6935965,35.500008375,(-15472.103389494252-5384.0464668398345j),(-6625.260332028044-8158.942298209917j),(-863.6784778629026-7697.018594312256j)
134.486284875,35.500008375,(-15599.742599034911-5027.228830326275j),(-6831.101346620291-7995.574216920112j),(-1072.470948889152-7671.020834034605j)
134.240254125,35.500008375,(-15216.15009132399-6087.438917750556j),(-6211.898079549346-8487.002128873457j),(-445.0194364406764-7734.563693241465j)
134.0112255,35.500008375,(-15475.877542979839-5383.7527842065565j),(-6626.8123891185605-8161.224467069914j),(-863.0267954580758-7697.914706483596j)
133.83263175000002,35.500008375,(-15281.12149942982-5914.863922290624j),(-6314.603025851215-8407.452829330296j),(-547.2821763082712-7726.209419757561j)
133.59879300000003,35.500008375,(-15652.372383838232-4841.851946486218j),(-6931.295659702661-7908.14879026488j),(-1178.9341825128422-7660.024727571239j)
133.38548062499999,35.500008375,(-15289.641451706631-5919.049383409078j),(-6318.500643273508-8410.906046627319j),(-551.0568990653386-7729.921631653151j)
